restaurant,url,category,distance,star,num_reviews
Cinnzeo,https://www.doordash.com/store/900730/?pickup=false,"$$ • Italian, Smoothies",21 min • 1.3 mi,4.7,(50)
Monster Cupcakes By Ghost Kitchens,https://www.doordash.com/store/953625/?pickup=false,"$$ • Cupcakes, Milk Shakes",23 min • 1.2 mi,3.7,(108)
Wings & Things,https://www.doordash.com/store/763268/?pickup=false,"$ • American, Fast Food",21 min • 0.3 mi,4.4,(167)
Pom Grand Persian Grill,https://www.doordash.com/store/534469/?pickup=false,"$$ • Mediterranean, Kebabs",28 min • 2.0 mi,4.5,(186)
Cinnabon By Ghost Kitchens,https://www.doordash.com/store/653191/?pickup=false,"$ • Poutineries, Bubble Tea",24 min • 1.2 mi,4,(337)
Phoenix Diner,https://www.doordash.com/store/2866548/?pickup=false,"$$ • American, Breakfast",19 min • 0.5 mi,4.9,(11)
My Tea,https://www.doordash.com/store/172602/?pickup=false,"$$ • Bubble Tea, Smoothies",23 min • 1.9 mi,4.5,(200)
Second Cup,https://www.doordash.com/store/2276812/?pickup=false,"$$ • Bakery, Espresso",21 min • 1.1 mi,4.4,(85)
The Cheesecake Factory Bakery by Ghost Kitchens,https://www.doordash.com/store/1007222/?pickup=false,"$$ • Bakery, Cheesecake",24 min • 1.2 mi,4,(229)
G&R Liquor Mart,https://www.doordash.com/convenience/store/23019224/?pickup=false,"$$ • Alcohol, Beer",22 min • 0.7 mi,5,NA
Pizza Hut,https://www.doordash.com/store/1558226/?pickup=false,"$$ • Pizza, Italian",24 min • 1.0 mi,4.4,(159)
lets grill sushi & izakaya,https://www.doordash.com/store/228805/?pickup=false,"$$ • Japanese, Sushi",27 min • 0.5 mi,4.3,(152)
Westmount Liquor Hub,https://www.doordash.com/convenience/store/22980996/?pickup=false,"$$ • Beer, Wine",26 min • 1.7 mi,5,(11)
The Sherlock Holmes Pub,https://www.doordash.com/store/149918/?pickup=false,"$$ • Pubs, Gluten-Free",22 min • 0.3 mi,3.8,(40)
Hing Lung,https://www.doordash.com/store/865840/?pickup=false,"$$ • Barbecue, Pork",25 min • 0.4 mi,4.6,(54)
Subway,https://www.doordash.com/store/166286/?pickup=false,"$$ • Build Your Own, Cookies",12 min • 300 ft,4.5,(12)
Sahaba Restaurant,https://www.doordash.com/store/1379466/?pickup=false,"$$ • Halal, Steak",26 min • 0.5 mi,4.2,(48)
Oodle Noodle,https://www.doordash.com/store/23279654/?pickup=false,"$$ • Noodles, Soup",24 min • 1.3 mi,4.8,NA
BaoBao,https://www.doordash.com/store/839347/?pickup=false,"$$ • Noodles, Dumplings",27 min • 0.4 mi,4.6,(117)
Norwood Liquor,https://www.doordash.com/store/1662645/?pickup=false,"$$ • Liquor Store, Beer",24 min • 1.8 mi,4.6,(109)
Man vs Fries,https://www.doordash.com/store/1525585/?pickup=false,"$ • Black-Owned, Chicken",27 min • 0.4 mi,4.5,(435)
Vera's Burger Shack,https://www.doordash.com/store/2207100/?pickup=false,"$ • Burgers, Fries",27 min • 0.4 mi,4.6,(109)
New York Fries,https://www.doordash.com/store/1153050/?pickup=false,"$$ • Fries, Hot Dogs",19 min • 0.2 mi,4.1,(67)
Ag Burgers,https://www.doordash.com/store/2835230/?pickup=false,"$$ • Burgers, Sandwiches",23 min • 0.3 mi,5,NA
Wrap N Roll Express,https://www.doordash.com/store/1311065/?pickup=false,"$$ • Wraps, Shawarma",21 min • 0.7 mi,4.8,(21)
The Ice Cream Shop By Ghost Kitchens,https://www.doordash.com/store/962014/?pickup=false,"$$ • Bakery, Cheesecake",24 min • 1.2 mi,4.1,(118)
East African Village Restaurant,https://www.doordash.com/store/1218055/?pickup=false,"$$ • Fish, Shrimp",30 min • 0.4 mi,4.4,(83)
Belge cafe,https://www.doordash.com/store/1249921/?pickup=false,"$$ • Cafe, Breakfast",23 min • 1.3 mi,3.4,NA
Osmow's,https://www.doordash.com/store/1738804/?pickup=false,"$$ • Mediterranean, Shawarma",24 min • 1.3 mi,4,(102)
Babaz Shawarma,https://www.doordash.com/store/477536/?pickup=false,"$$ • Indian, Cheesecake",27 min • 1.2 mi,3.1,(65)
DIVINE THE INDIAN CUISINE,https://www.doordash.com/store/1862737/?pickup=false,"$$ • Indian, Curry",28 min • 0.8 mi,4.6,(45)
PABLO CHEESE TART,https://www.doordash.com/store/22967612/?pickup=false,"$$ • Smoothies, Desserts",27 min • 2.0 mi,4.8,(33)
Maria Northern Mexican Cuisine,https://www.doordash.com/store/1488824/?pickup=false,"$$ • Mexican, Tacos",26 min • 800 ft,4.5,(59)
Teapsy Lab,https://www.doordash.com/store/2705347/?pickup=false,"$$ • Asian Fusion, Teppanyaki",28 min • 1.9 mi,4.6,(35)
Mr Pretzels,https://www.doordash.com/store/1581212/?pickup=false,"$$ • Fast Food, Pretzels",25 min • 1.2 mi,4.5,(40)
Chicken King Chinese Restaurant,https://www.doordash.com/store/1449848/?pickup=false,"$$ • Chinese, Chicken",24 min • 0.7 mi,4.5,(157)
Zuppa Cafe & Pizza,https://www.doordash.com/store/511687/?pickup=false,"$$ • Italian, Pizza",24 min • 0.8 mi,4,NA
SPICE KITCHEN BAR,https://www.doordash.com/store/23334472/?pickup=false,"$$ • Indian, Biryani",24 min • 0.8 mi,4.5,NA
Bully Sandwiches By Ghost Kitchens,https://www.doordash.com/store/477564/?pickup=false,"$$ • Cheesecake, Poutineries",27 min • 1.2 mi,3.9,(37)
CornerHUB,https://www.doordash.com/store/1497877/?pickup=false,"$$ • Cafe, Coffee & Tea",29 min • 1.9 mi,4.9,(42)
Another Wing By DJ Khaled,https://www.doordash.com/store/2430600/?pickup=false,"$ • American, Chicken",21 min • 0.3 mi,4,(39)
KFC,https://www.doordash.com/store/1054807/?pickup=false,"$$ • American, Sandwiches",21 min • 900 ft,4.6,(163)
Sticky Wings,https://www.doordash.com/store/1438125/?pickup=false,"$ • American, Fast Food",21 min • 0.3 mi,3.9,(17)
Liquor Time,https://www.doordash.com/store/1662616/?pickup=false,"$$ • Alcohol, Liquor Store",30 min • 2.3 mi,4.8,(79)
Vegango Restaurant,https://www.doordash.com/store/22990918/?pickup=false,"$$ • Vegan, Burgers",27 min • 1.1 mi,4.1,NA
Buns & Bao,https://www.doordash.com/store/2431224/?pickup=false,"$ • Cheesecake, Steamed Buns",21 min • 0.3 mi,4.7,(59)
Freshslice Pizza,https://www.doordash.com/store/23018903/?pickup=false,"$$ • Dessert, Italian",24 min • 0.6 mi,3.7,NA
Meltwich Food Co.,https://www.doordash.com/store/2672206/?pickup=false,"$$ • Comfort Food, Grilled Cheese",29 min • 0.8 mi,4.5,(91)
Funnel Cake,https://www.doordash.com/store/22969935/?pickup=false,$$ • Dessert,28 min • 1.2 mi,3.6,NA
Lan Noodle,https://www.doordash.com/store/1931152/?pickup=false,"$$ • Noodles, Salads",29 min • 1.9 mi,4.8,(20)
American Eclectic Burger,https://www.doordash.com/store/1691788/?pickup=false,"$ • American, Burgers",22 min • 0.3 mi,4.2,(58)
Rebel Wings,https://www.doordash.com/store/1438128/?pickup=false,"$ • American, Wings",21 min • 0.3 mi,4,(39)
Quiznos,https://www.doordash.com/store/674109/?pickup=false,"$$ • Salads, Soup",28 min • 1.7 mi,4.3,(99)
Bawk Bawk,https://www.doordash.com/store/1141297/?pickup=false,"$$ • Chicken Wings, Chicken Tenders",22 min • 0.3 mi,4.5,(75)
Chachi's Sandwiches,https://www.doordash.com/store/2294740/?pickup=false,"$$ • Sandwiches, Sausage",24 min • 0.5 mi,4.2,(17)
99 SUNFLOWER CAFE EATERY,https://www.doordash.com/store/23352326/?pickup=false,"$$ • Cafe, Italian",29 min • 0.4 mi,NA,NA
MrBeast Burger Canada,https://www.doordash.com/store/23135125/?pickup=false,"$$ • Burgers, Cheeseburger",23 min • 0.8 mi,4.2,NA
Taco Del Mar By Ghost Kitchens,https://www.doordash.com/store/1067943/?pickup=false,"$$ • Bakery, Cheesecake",24 min • 1.2 mi,3.3,(38)
Purdys Chocolatier,https://www.doordash.com/store/1222909/?pickup=false,"$$ • Chocolates, Gift",22 min • 900 ft,5,NA
BarBurrito,https://www.doordash.com/store/1070717/?pickup=false,"$$ • Mexican, Burritos",27 min • 1.9 mi,4.3,(60)
Slush Puppies By Ghost Kitchens,https://www.doordash.com/store/1534634/?pickup=false,"$$ • Poutineries, Indian",24 min • 1.2 mi,4.4,(19)
RedBull By Ghost Kitchens,https://www.doordash.com/store/973907/?pickup=false,"$$ • Italian, Sandwiches",24 min • 1.2 mi,4.4,(15)
Lola's Latin Cuisine & Churros,https://www.doordash.com/store/1368336/?pickup=false,"$$ • Cheesecake, Poutineries",28 min • 1.2 mi,3.4,(13)
Good Earth Coffeehouse,https://www.doordash.com/store/23078750/?pickup=false,"$$ • Coffee & Tea, Bakery",28 min • 1.6 mi,NA,NA
Yeg Pizza on Wheels,https://www.doordash.com/store/1750514/?pickup=false,"$$ • Italian, Pizza",17 min • 800 ft,3.2,NA
Sammies By SoDo,https://www.doordash.com/store/23348820/?pickup=false,$$,22 min • 0.7 mi,NA,NA
Shijing Taste Mixer,https://www.doordash.com/store/1346349/?pickup=false,"$$ • Chinese, Fries",24 min • 0.4 mi,NA,NA
Express Corner Store,https://www.doordash.com/store/23428226/?pickup=false,"$$ • Curry, Biryani",24 min • 0.7 mi,NA,NA
Black Ship Restro & Pub Inc.,https://www.doordash.com/store/1354805/?pickup=false,"$$ • Burgers, Canadian (New)",23 min • 0.3 mi,3.8,NA
Salvadorenos,https://www.doordash.com/store/23329485/?pickup=false,"$$ • Salvadorian, Tacos",27 min • 1.3 mi,NA,NA
T.Kettle,https://www.doordash.com/store/2492414/?pickup=false,"$$ • Matcha, Green Tea",28 min • 1.3 mi,5,NA
The Lingnan,https://www.doordash.com/store/149807/?pickup=false,"$$ • Chinese, Shrimp",Closed • 0.3 mi,4.6,"(1,100+)"
Pazzo Pazzo,https://www.doordash.com/store/149816/?pickup=false,"$$ • Italian, Salads",Closed • 0.2 mi,4.7,(560+)
Snowy Village,https://www.doordash.com/store/304115/?pickup=false,"$$ • Korean, Dessert",Closed • 0.7 mi,4.7,(440)
Ono Poke Co,https://www.doordash.com/store/150080/?pickup=false,"$$ • Poke, Seafood",Closed • 0.3 mi,4.5,(208)
OEB Breakfast,https://www.doordash.com/store/567468/?pickup=false,"$$ • Breakfast, Sandwiches",Closed • 0.2 mi,4.6,(660+)
Pur & Simple,https://www.doordash.com/store/1593929/?pickup=false,"$$ • French Toast, Breakfast",Closed • 1.2 mi,4.6,(274)
A Bite of Brazil by Pampa,https://www.doordash.com/store/957551/?pickup=false,"$$ • Grilled Cheese, Brazilian",Closed • 0.3 mi,4.8,(227)
Tea Bar Cafe,https://www.doordash.com/store/286294/?pickup=false,"$$ • Cafe, Japanese",Closed • 0.5 mi,4.4,(230)
Rigoletto's Cafe,https://www.doordash.com/store/150243/?pickup=false,"$$ • Italian, Coffee & Tea",Closed • 0.5 mi,4.8,(297)
Kellys Pub,https://www.doordash.com/store/921330/?pickup=false,"$$ • Alcohol, Burgers",Closed • 0.2 mi,4.4,(81)
Liquor Store On 111,https://www.doordash.com/convenience/store/1615647/?pickup=false,"$$ • Alcohol, Beer",Closed • 1.0 mi,4.5,(111)
Sai Woo Garden Restaurant,https://www.doordash.com/store/149836/?pickup=false,"$$ • Chinese, Seafood",Closed • 0.5 mi,4.4,(259)
Viphalay,https://www.doordash.com/store/1442407/?pickup=false,"$$ • Thai, Soup",Closed • 0.6 mi,4.7,(148)
Taj Western Cuisine,https://www.doordash.com/store/540474/?pickup=false,"$$ • Indian, African",Closed • 0.7 mi,3.8,(64)
L'espresso Cafe,https://www.doordash.com/store/172782/?pickup=false,"$$ • Cafe, Coffee",Closed • 0.3 mi,4.5,(27)
The Pint,https://www.doordash.com/store/172758/?pickup=false,"$$ • Chicken Wings, Canadian",Closed • 0.5 mi,4.3,(194)
Delicious Pho,https://www.doordash.com/store/865712/?pickup=false,"$$ • Vietnamese, Vermicelli",Closed • 1.6 mi,4.3,(421)
Ruth's Chris Steak House,https://www.doordash.com/store/1615904/?pickup=false,"$$ • Steakhouses, Seafood",Closed • 0.4 mi,4.7,(133)
Fumaca Brazilian Steakhouse,https://www.doordash.com/store/930547/?pickup=false,"$$ • Brazilian, Steakhouses",Closed • 1.5 mi,4.4,(42)
Dynasty Century Palace,https://www.doordash.com/store/150701/?pickup=false,"$$ • Chinese, Dim Sum",Closed • 0.4 mi,4.6,(91)
Shojo Izakaya,https://www.doordash.com/store/840080/?pickup=false,"$$ • Japanese, Sushi",Closed • 1.4 mi,4.6,(85)
P & L Chinese,https://www.doordash.com/store/150210/?pickup=false,"$$ • Chinese, Seafood",Closed • 0.5 mi,4.1,(79)
The Wokkery Restaurant,https://www.doordash.com/store/143323/?pickup=false,"$$ • Chinese, Seafood",Closed • 0.9 mi,3.7,(29)
