restaurant,url,category,distance,star,num_reviews
Maverick's Donut,https://www.doordash.com/store/640754/?pickup=false,"$$ • Donuts, Sweets",0.4 mi • Closed,4.5,(15)
Savory & Sweet,https://www.doordash.com/store/1280927/?pickup=false,"$$ • Bakery, Creperies",0.6 mi • Closed,4.7,(90)
Dumpling? Dumpling! - Bank St,https://www.doordash.com/store/1174769/?pickup=false,"$$ • Spring Rolls, Vegetarian",0.7 mi • Closed,4.5,(117)
Syrian Kitchen,https://www.doordash.com/store/298800/?pickup=false,"$$ • Syrian, Sandwiches",0.9 mi • Closed,4.1,(10)
Saigon Pho,https://www.doordash.com/store/567540/?pickup=false,"$$ • Vietnamese, Noodles",0.4 mi • Closed,4,(52)
Oat Couture Oatmeal Cafe,https://www.doordash.com/store/22930023/?pickup=false,"$$ • Cafe, Coffee & Tea",1.1 mi • Closed,4.7,(13)
Madisons New York Grill & Bar,https://www.doordash.com/store/299192/?pickup=false,"$$ • Dessert, Seafood",0.5 mi • Closed,4.1,(61)
Le Casablanca,https://www.doordash.com/store/299206/?pickup=false,"$$ • Middle Eastern, Pastries",0.5 mi • Closed,4.7,(23)
Govinda's,https://www.doordash.com/store/1640722/?pickup=false,$$ • Soup,1.0 mi • Closed,5,(22)
Juice Monkey,https://www.doordash.com/store/1480864/?pickup=false,"$$ • Healthy, Smoothies",0.2 mi • Closed,4.7,(21)
Wedel - Touch of Europe,https://www.doordash.com/store/2582130/?pickup=false,"$$ • Modern European, Schnitzel",0.5 mi • Closed,4,NA
Euro Bistro 360,https://www.doordash.com/store/1246377/?pickup=false,"$$ • Breakfast, Dessert",0.4 mi • Closed,4.5,NA
Casa Nicastro,https://www.doordash.com/store/1253567/?pickup=false,$$ • Sandwiches,1.5 mi • Closed,NA,NA
Rocky Mtn Chocolate,https://www.doordash.com/store/903975/?pickup=false,"$$ • Chocolate, Dessert",0.5 mi • Closed,4.6,(26)
Il Perugino Cafe & Bar,https://www.doordash.com/store/2819018/?pickup=false,"$$ • Italian, Alcohol",0.6 mi • Closed,NA,NA
The Bier Markt,https://www.doordash.com/store/967488/?pickup=false,"$$ • Pizza, Burgers",500 ft • Closed,4.3,(59)
Cora,https://www.doordash.com/store/1306763/?pickup=false,"$$ • Eggs, Crepes",0.6 mi • Closed,4.1,(165)
Sprint Snacks,https://www.doordash.com/store/1757794/?pickup=false,"$$ • Salads, Snacks",1.0 mi • Closed,NA,NA
Presse Cafe,https://www.doordash.com/store/783514/?pickup=false,"$$ • Cafe, Breakfast",700 ft • Closed,4.2,(55)
Aztec Tacos,https://www.doordash.com/store/1636217/?pickup=false,"$$ • Mexican, Tacos",1.7 mi • Closed,4.5,(14)
Fiazza Fresh Fired,https://www.doordash.com/store/850818/?pickup=false,"$$ • Italian, Pizza",0.5 mi • Closed,4.4,(180)
Eggspectation,https://www.doordash.com/store/291869/?pickup=false,"$$ • Canadian, Breakfast",0.3 mi • Closed,4.5,(144)
Donerma,https://www.doordash.com/store/567559/?pickup=false,"$$ • Mediterranean, Wraps",0.3 mi • Closed,4.8,(25)
Iconic Cafe,https://www.doordash.com/store/839828/?pickup=false,"$$ • Cafe, Coffee & Tea",0.2 mi • Closed,4.8,(17)
Bistro Ristoro,https://www.doordash.com/store/641911/?pickup=false,"$$ • Mediterranean, Pizza",0.4 mi • Closed,5,NA
Betsi Chicken,https://www.doordash.com/store/1119719/?pickup=false,"$$ • Chicken, Spicy Chicken",0.3 mi • Closed,3.2,(24)
Korean Palace,https://www.doordash.com/store/298414/?pickup=false,"$$ • Korean, Soup",0.8 mi • Closed,4.6,(404)
The Orient House Shawarma & Grill,https://www.doordash.com/store/787319/?pickup=false,"$$ • Middle Eastern, Sandwiches",0.3 mi • Closed,5,NA
Eatz Mediterranean Cuisine,https://www.doordash.com/store/549524/?pickup=false,"$$ • Mediterranean, Sandwiches",0.4 mi • Closed,5,NA
